timestamp,dpid,port,tx_bytes,rx_bytes
1743239635.9514208,2,2,7693263,10387965
1743239635.9514263,2,3,15102254,130746
1743239635.9516518,2,4294967294,0,0
1743239635.9516628,2,1,8153873,11429456
1743239635.9516673,2,4,16266364,22786
1743239635.951673,2,2,8248035,10784679
1743239635.9516788,2,3,16181718,140502
1743239636.2256722,4,4294967294,0,0
1743239636.2256923,4,1,7208110,5913026097
1743239636.2256973,4,4,14367532,17826
1743239636.2257004,4,2,5910287082,9939046
1743239636.2257037,4,5,14367830,17524
1743239636.2257068,4,3,14367616,18612
1743239636.2257397,4,4294967294,0,0
1743239636.225745,4,1,7604087,5913577611
1743239636.225748,4,4,15167127,18380
1743239636.2257507,4,2,5910693212,10491988
1743239636.225754,4,5,15167871,17990
1743239636.225757,4,3,15166695,20542
1743239636.2257872,4,4294967294,0,0
1743239636.2257912,4,1,8152930,5914512432
1743239636.2257946,4,4,16250359,20438
1743239636.2257974,4,2,5911231469,10886757
1743239636.2258005,4,5,16251103,20818
1743239636.2258034,4,3,16250481,20712
1743239645.171105,3,4294967294,0,0
1743239645.1711807,3,4,15730645,5430
1743239645.1712077,3,1,5912875854,10634191
1743239645.1712275,3,2,10784749,8310203
1743239645.1712453,3,3,10886757,5911340672
1743239645.1714296,1,4294967294,0,0
1743239645.1714664,1,1,11538344,8216534
1743239645.1714852,1,2,10634191,5912875854
1743239645.1715024,1,3,5914574139,8261732
1743239645.171701,4,4294967294,0,0
1743239645.171738,4,1,8261732,5914574139
1743239645.1717634,4,4,16467762,20438
1743239645.171767,4,2,5911340672,10886757
1743239645.1717842,4,5,16468162,20818
1743239645.1717875,4,3,16467626,20712
1743239645.1720023,2,4294967294,0,0
1743239645.172013,2,1,8216534,11538344
1743239645.1720185,2,4,16390951,23258
1743239645.172022,2,2,8310203,10784749
1743239645.1720252,2,3,16306133,140846
1743239655.1734521,4,4294967294,0,0
1743239655.1735296,4,1,8261732,5914574209
1743239655.1735559,4,4,16467762,20438
1743239655.173575,4,2,5911340672,10886757
1743239655.173618,4,5,16468162,20818
1743239655.1736357,4,3,16467626,20782
1743239655.1755717,2,4294967294,0,0
1743239655.1756477,2,1,8216534,11538344
1743239655.175672,2,4,16391021,23258
1743239655.17569,2,2,8310203,10784749
1743239655.1757076,2,3,16306133,140846
1743239655.1758823,3,4294967294,0,0
1743239655.1759107,3,4,15730645,5430
1743239655.1759286,3,1,5912875854,10634191
1743239655.175947,3,2,10784749,8310203
1743239655.1759644,3,3,10886757,5911340672
1743239655.176116,1,4294967294,0,0
1743239655.1761556,1,1,11538344,8216534
1743239655.1761732,1,2,10634191,5912875854
1743239655.1761906,1,3,5914574209,8261732
1743239665.3586855,1,4294967294,0,0
1743239665.3587327,1,1,189065524,125353374
1743239665.3587432,1,2,163736391,6067113704
1743239665.3587508,1,3,6092267419,125662122
1743239665.417731,2,4294967294,0,0
1743239665.4177616,2,1,131519314,198369984
1743239665.4177704,2,4,263751911,23258
1743239665.4177778,2,2,132375133,199225329
1743239665.417784,2,3,264359873,140944
1743239665.5768101,4,4294967294,0,0
1743239665.5768456,4,1,128147682,6095879819
1743239665.5768542,4,4,256350992,20438
1743239665.5768611,4,2,6031686722,193731267
1743239665.5768676,4,5,257293872,20818
1743239665.576874,4,3,257417196,20782
1743239665.8124926,3,4294967294,0,0
1743239665.8125274,3,4,281411515,5500
1743239665.8125362,3,1,6073030384,169616331
1743239665.8125434,3,2,196619869,130714353
